File Name:	PMMA_CN_6mm_60Kmin_4mg_R1.txt	Version: 8.3.7.3						
Date:	02 Aug 2024							
Operator:	-							
Test ID:	PMMA_CN_6mm_4mg_60K_R1							
Sample ID:	PMMA_6mm_4mg_R1							
Sample Mass (mg):	4.0500							
Sample Cup Mass (mg):	184.4700							
End Total Mass (mg):								
Heating Rate (C/s):	1.0000							
Combuster Temperature (C):	900.0							
N2 Flow Rate (cc/min):	80.0							
O2 Flow Rate (cc/min):	20.0							
Calibration File:	Coeff.txt							
T Correction Coefficients:	0.308738730	0.013615500	0.000000000					
Time Shift (s):	10.0							
Pre-Test Comments:								
Post-Test Comments:								
Baseline Flow:	99.761							
Baseline O2:	20.276							
Instrument ID:	2700							
----------exported parameters----------
Date:	07 Okt 2024
T Onset (°C):	297.104
T Burn (°C):	417.034
Peak Temperature (°C):	386.719
Heating Rate (°C/s):	1.0101234347045651
FGC (kJ/(gK)):	6.725926549441123
HR Capacity (J/g-K):	TODO
128.501	192.926	80.051	19.998	100.258	-0.08750219783151891	9.106550528101529	0.992	899.27
129.001	193.467	80.052	19.997	100.26	-0.08567706350327242	8.92595522563267	1.007	899.261
129.501	193.954	80.054	19.997	100.265	-0.08685192917502604	9.03135992316381	1.028	899.239
130.001	194.505	80.053	19.998	100.27	-0.0850267948467831	8.921764620694951	1.038	899.246
130.501	195.006	80.052	19.997	100.273	-0.08320166051854017	8.815169318226092	1.052	899.261
131.001	195.49	80.051	19.998	100.273	-0.08437652619029379	8.907574015757232	0.985	899.294
131.501	196.001	80.051	19.997	100.269	-0.08055139186205196	8.672978713288373	0.993	899.268
132.002	196.507	80.052	19.997	100.266	-0.08372660726515235	8.994392220214577	1.017	899.257
132.501	196.985	80.051	19.998	100.262	-0.08490112320556165	9.118788108350655	0.985	899.242
133.001	197.503	80.052	19.997	100.255	-0.08207598887731749	8.930192805881795	0.996	899.243
133.501	198.036	80.055	19.997	100.254	-0.08125085454907577	8.831597503412937	1.051	899.247
134.001	198.535	80.054	19.998	100.257	-0.08242572022082939	8.940002200944077	1.032	899.302
134.501	199.058	80.057	19.996	100.26	-0.08060058589258645	8.865406898475218	1.022	899.243
135.001	199.592	80.056	19.997	100.266	-0.07777545156434229	8.602811596006358	1.056	899.3
135.501	200.086	80.055	19.997	100.272	-0.07395031723609691	8.2632162935375	1.027	899.265
136.002	200.591	80.053	19.997	100.271	-0.07512553263919486	8.389629800463702	0.999	899.262
136.501	201.078	80.054	19.998	100.272	-0.07230004857960992	8.15102568859978	0.993	899.29
137.001	201.621	80.055	19.998	100.27	-0.07247491425136587	8.186430386130922	1.03	899.285
137.501	202.111	80.052	19.998	100.265	-0.07164977992311705	7.985835083662063	1.033	899.252
138.001	202.618	80.053	19.998	100.261	-0.07382464559487545	8.121239781193204	0.997	899.31
138.501	203.12	80.052	19.997	100.261	-0.07099951126663129	7.874644478724345	1.009	899.281
139.001	203.633	80.051	19.997	100.255	-0.07117437693838724	7.852049176255485	1.015	899.303
139.501	204.152	80.052	19.998	100.25	-0.0693492426101443	7.690453873786625	1.032	899.316
140.001	204.638	80.055	19.997	100.247	-0.06552410828189892	7.289858571317767	1.005	899.295
140.501	205.172	80.055	19.997	100.248	-0.06769897395365376	7.409263268848907	1.02	899.324
141.001	205.67	80.052	19.998	100.248	-0.06587383962541082	7.172667966380048	1.032	899.318
141.502	206.179	80.051	19.997	100.246	-0.06504905502850988	7.108081473306251	1.007	899.291
142.002	206.705	80.051	19.998	100.244	-0.06322392070026694	6.876486170837392	1.035	899.292
142.501	207.224	80.054	19.999	100.244	-0.062398436640677346	6.7618820589734705	1.046	899.29
143.001	207.683	80.053	19.998	100.244	-0.06357330231243452	6.886286756504611	0.978	899.305
143.501	208.22	80.049	19.998	100.243	-0.06074816798419036	6.6936914540357515	0.996	899.331
144.001	208.736	80.05	19.997	100.245	-0.06092303365594631	6.765096151566892	1.053	899.313
144.501	209.208	80.051	19.998	100.248	-0.06209789932770349	6.920500849098033	0.988	899.31
145.002	209.735	80.053	19.998	100.25	-0.061273114730798994	6.897914356024237	0.998	899.337
145.502	210.244	80.055	19.997	100.252	-0.059447980402556055	6.722319053555377	1.037	899.332
146.001	210.741	80.053	19.997	100.254	-0.05862249634296646	6.717714941691456	1.007	899.334
146.501	211.243	80.053	19.998	100.255	-0.05779736201472119	6.691119639222596	0.999	899.32
147.001	211.759	80.052	19.997	100.259	-0.05697222768647947	6.701524336753737	1.018	899.314
147.501	212.272	80.054	19.998	100.263	-0.0561470933582342	6.6239290342848784	1.029	899.346
148.001	212.797	80.055	19.999	100.269	-0.06032195902999149	6.950333731816019	1.037	899.313
148.502	213.278	80.053	19.999	100.273	-0.05749717443309166	6.825747238742221	1.005	899.321
149.003	213.765	80.055	19.998	100.278	-0.05867238983618961	6.861160745668425	0.968	899.329
149.502	214.268	80.056	19.997	100.283	-0.05784690577660356	6.823556633804504	0.991	899.344
150.001	214.769	80.055	19.997	100.281	-0.0610214217170153	6.994952521940582	1.005	899.334
150.501	215.299	80.055	19.998	100.276	-0.056196287388768695	6.609357219471723	1.031	899.324
151.001	215.826	80.055	19.998	100.273	-0.05937115306052476	6.8487619170028635	1.056	899.326
151.502	216.32	80.054	19.997	100.27	-0.058546368463627374	6.8431754239290665	1.02	899.347
152.002	216.837	80.054	19.998	100.264	-0.05872123413538333	6.804580121460208	1.01	899.34
